Date,Time,UserID,Location,PostContent,Sentiment,Likes,Comments,EngagementScore,ImageDescription,TravelType
7/28/2025,5:11,U11865,Marrakech,Adrenaline + views = Marrakech. Loved spices at the medina!,Neutral,499064,1843,303124.4,Spices at the Medina,Adventure
6/12/2025,12:31,U34922,Prague,Quick trip to Prague for work – still managed to catch this: charles bridge at sunrise.,Positive,386864,2273,236664.4,Charles Bridge at sunrise,Business
7/12/2025,0:19,U14492,Zurich,Adventuring through Zurich – just look at lake zurich view with swans!,Positive,455323,2961,279115.8,Lake Zurich view with swans,Adventure
6/9/2025,13:06,U37109,Buenos Aires,Adventuring through Buenos Aires – just look at colorful caminito buildings!,Positive,434246,3790,268127.6,Colorful Caminito buildings,Adventure
6/7/2025,12:23,U12519,Zagreb,Adrenaline + views = Zagreb. Loved café tables in pedestrian zone!,Positive,468680,3464,288136,Café tables in pedestrian zone,Adventure
7/13/2025,8:07,U66880,Athens,Adrenaline + views = Athens. Loved rooftop taverna with acropolis view!,Positive,32289,526,20425.4,Rooftop taverna with Acropolis view,Adventure
6/28/2025,18:04,U38041,Hanoi,Quick trip to Hanoi for work – still managed to catch this: scooters in old quarter.,Positive,161641,2190,101364.6,Scooters in Old Quarter,Business
7/25/2025,20:10,U30308,Cape Town,Adrenaline + views = Cape Town. Loved top of table mountain view!,Positive,108550,1598,68326,Top of Table Mountain view,Adventure
7/21/2025,0:23,U39073,Los Angeles,Adrenaline + views = Los Angeles. Loved hollywood sign from afar!,Positive,372987,4776,233344.2,Hollywood sign from afar,Adventure
7/26/2025,10:22,U98189,Vilnius,Relaxing in Vilnius with views like this: baroque churches in morning light.,Positive,6476,3923,11731.6,Baroque churches in morning light,Leisure
6/25/2025,5:44,U52758,Buenos Aires,Adventuring through Buenos Aires – just look at obelisk in city center!,Neutral,2539,623,2769.4,Obelisk in city center,Adventure
7/23/2025,16:29,U50671,Munich,Vacation vibes in Munich! Beer steins at Oktoberfest made it unforgettable.,Negative,73562,4273,52683.2,Beer steins at Oktoberfest,Leisure
6/11/2025,4:02,U22495,Cape Town,Quick trip to Cape Town for work – still managed to catch this: colorful bo-kaap houses.,Neutral,253701,2196,156612.6,Colorful Bo-Kaap houses,Business
6/23/2025,16:17,U66007,Dubai,Business isn’t all boring – check out burj khalifa from below in Dubai.,Negative,265742,4348,168141.2,Burj Khalifa from below,Business
6/3/2025,18:57,U79126,Auckland,Business isn’t all boring – check out volcanic cone parkland in Auckland.,Positive,170782,1129,104727.2,Volcanic cone parkland,Business
7/4/2025,1:12,U27161,Prague,Vacation vibes in Prague! Astronomical Clock in Old Town made it unforgettable.,Positive,464271,1351,281264.6,Astronomical Clock in Old Town,Leisure
6/4/2025,8:28,U85702,Rio de Janeiro,Vacation vibes in Rio de Janeiro! Samba dancers at Carnival made it unforgettable.,Positive,191130,1594,117866,Samba dancers at Carnival,Leisure
6/10/2025,21:40,U92923,Dubai,"Between meetings in Dubai, took a moment to enjoy burj khalifa from below.",Positive,445650,1399,270188,Burj Khalifa from below,Business
5/31/2025,9:35,U12517,Toronto,Thrill-seeking in Toronto! Graffiti Alley street art was the highlight.,Positive,352802,180,212041.2,Graffiti Alley street art,Adventure
6/21/2025,20:18,U77211,Beijing,Quick trip to Beijing for work – still managed to catch this: beijing duck in a traditional setting.,Positive,95901,56,57652.6,Beijing duck in a traditional setting,Business
7/20/2025,3:11,U27037,Doha,Relaxing in Doha with views like this: skyline with dhow boat.,Positive,19460,908,13492,Skyline with dhow boat,Leisure
7/15/2025,11:18,U53224,Cairo,Relaxing in Cairo with views like this: camel riders at sunset.,Negative,491284,3548,301866.4,Camel riders at sunset,Leisure
6/8/2025,10:34,U66099,Bangkok,Exploring the beauty of Bangkok – wat arun at sunset.,Positive,393886,1984,240299.6,Wat Arun at sunset,Leisure
5/29/2025,19:13,U20821,Los Angeles,Exploring the beauty of Los Angeles – hollywood sign from afar.,Negative,49005,4626,38655,Hollywood sign from afar,Leisure
7/1/2025,9:13,U43715,Tel Aviv,Relaxing in Tel Aviv with views like this: old jaffa port at dusk.,Positive,85897,4641,60820.2,Old Jaffa port at dusk,Leisure
7/26/2025,1:22,U15835,Zagreb,Adrenaline + views = Zagreb. Loved café tables in pedestrian zone!,Positive,180792,1957,112389.2,Café tables in pedestrian zone,Adventure
6/29/2025,13:06,U84235,Los Angeles,Quick trip to Los Angeles for work – still managed to catch this: hollywood sign from afar.,Positive,292507,556,176616.2,Hollywood sign from afar,Business
5/29/2025,15:43,U57053,London,Business isn’t all boring – check out big ben in the rain in London.,Positive,439935,1528,267017,Big Ben in the rain,Business
7/26/2025,8:33,U46087,Edinburgh,Thrill-seeking in Edinburgh! Bagpiper on Royal Mile was the highlight.,Positive,420110,455,252976,Bagpiper on Royal Mile,Adventure
6/1/2025,22:20,U61788,Bangkok,Vacation vibes in Bangkok! Wat Arun at sunset made it unforgettable.,Positive,316018,3734,197078.8,Wat Arun at sunset,Leisure
6/24/2025,13:11,U89215,Santorini,Exploring the beauty of Santorini – sunset over the aegean sea.,Negative,59354,4462,44536.4,Sunset over the Aegean Sea,Leisure
7/15/2025,23:00,U22413,Bali,Business isn’t all boring – check out sunset surfer at uluwatu in Bali.,Positive,295951,4316,186202.6,Sunset surfer at Uluwatu,Business
6/15/2025,6:38,U95945,London,Adrenaline + views = London. Loved london eye over the thames!,Positive,175174,1011,107126.4,London Eye over the Thames,Adventure
7/5/2025,10:22,U56916,Prague,Vacation vibes in Prague! Vltava River reflections at night made it unforgettable.,Positive,73971,3127,50636.6,Vltava River reflections at night,Leisure
5/30/2025,2:23,U99811,Stockholm,Adventuring through Stockholm – just look at royal palace changing of guards!,Neutral,101095,1273,63203,Royal Palace changing of guards,Adventure
7/7/2025,17:02,U77519,Manila,Vacation vibes in Manila! Intramuros colonial wall made it unforgettable.,Positive,412647,1056,249700.2,Intramuros colonial wall,Leisure
6/26/2025,12:36,U90944,Bali,"Between meetings in Bali, took a moment to enjoy rice terraces in ubud.",Positive,32773,3512,26687.8,Rice terraces in Ubud,Business
7/9/2025,22:37,U97002,Prague,Quick trip to Prague for work – still managed to catch this: charles bridge at sunrise.,Neutral,369466,3018,227715.6,Charles Bridge at sunrise,Business
7/18/2025,11:42,U61587,Tel Aviv,Vacation vibes in Tel Aviv! Beachfront with volleyball players made it unforgettable.,Positive,60282,4337,44843.2,Beachfront with volleyball players,Leisure
6/18/2025,8:06,U23166,Los Angeles,Thrill-seeking in Los Angeles! Santa Monica Pier was the highlight.,Positive,988,3807,8206.8,Santa Monica Pier,Adventure
6/8/2025,6:13,U96593,Reykjavik,Adrenaline + views = Reykjavik. Loved geothermal pool steam rising!,Positive,305287,4733,192638.2,Geothermal pool steam rising,Adventure
6/7/2025,14:25,U61169,Venice,Relaxing in Venice with views like this: gondolas on grand canal.,Positive,120733,1613,75665.8,Gondolas on Grand Canal,Leisure
7/17/2025,2:56,U26134,Bangkok,Exploring the beauty of Bangkok – street food vendor at night market.,Positive,291428,3337,181530.8,Street food vendor at night market,Leisure
6/12/2025,19:28,U36276,Copenhagen,Thrill-seeking in Copenhagen! Bicycles along cobbled street was the highlight.,Neutral,386547,2824,237576.2,Bicycles along cobbled street,Adventure
6/22/2025,11:15,U40193,Istanbul,Vacation vibes in Istanbul! Spices in Grand Bazaar made it unforgettable.,Neutral,443006,3850,273503.6,Spices in Grand Bazaar,Leisure
7/15/2025,8:36,U15525,Auckland,Thrill-seeking in Auckland! Volcanic cone parkland was the highlight.,Negative,27760,3602,23860,Volcanic cone parkland,Adventure
6/7/2025,15:22,U22620,Vilnius,Vacation vibes in Vilnius! Gediminas Tower on hill made it unforgettable.,Positive,152154,4260,99812.4,Gediminas Tower on hill,Leisure
7/19/2025,11:36,U81369,Munich,Vacation vibes in Munich! Beer steins at Oktoberfest made it unforgettable.,Neutral,356500,3343,220586,Beer steins at Oktoberfest,Leisure
7/17/2025,15:15,U16681,Warsaw,Exploring the beauty of Warsaw – palace of culture and science at night.,Positive,253332,4715,161429.2,Palace of Culture and Science at night,Leisure
7/4/2025,19:34,U62828,Glasgow,Relaxing in Glasgow with views like this: street art on city walls.,Negative,185646,303,111993.6,Street art on city walls,Leisure
6/22/2025,17:29,U62767,Sydney,Relaxing in Sydney with views like this: opera house from the ferry.,Positive,457076,1627,277499.6,Opera House from the ferry,Leisure
6/21/2025,19:54,U12642,Abu Dhabi,Quick trip to Abu Dhabi for work – still managed to catch this: corniche waterfront walkway.,Positive,293105,1255,178373,Corniche waterfront walkway,Business
6/29/2025,2:02,U32924,Brussels,Quick trip to Brussels for work – still managed to catch this: waffles with whipped cream.,Negative,161003,142,96885.8,Waffles with whipped cream,Business
6/15/2025,13:24,U24428,Santiago,Quick trip to Santiago for work – still managed to catch this: andes behind the skyline.,Positive,454078,254,272954.8,Andes behind the skyline,Business
6/24/2025,18:07,U22095,Los Angeles,Relaxing in Los Angeles with views like this: hollywood sign from afar.,Positive,441133,66,264811.8,Hollywood sign from afar,Leisure
7/15/2025,5:53,U63363,Istanbul,Relaxing in Istanbul with views like this: spices in grand bazaar.,Positive,403817,603,243496.2,Spices in Grand Bazaar,Leisure
7/25/2025,20:08,U39875,Amman,Adventuring through Amman – just look at roman amphitheater with crowd!,Positive,338447,4054,211176.2,Roman amphitheater with crowd,Adventure
6/17/2025,1:44,U53874,Vienna,Business isn’t all boring – check out horse-drawn carriage in old town in Vienna.,Negative,440414,80,264408.4,Horse-drawn carriage in old town,Business
7/2/2025,0:50,U30552,Oslo,"Between meetings in Oslo, took a moment to enjoy akershus fortress view.",Positive,109420,3057,71766,Akershus Fortress view,Business
7/26/2025,19:24,U20455,Prague,Vacation vibes in Prague! Charles Bridge at sunrise made it unforgettable.,Positive,327065,3198,202635,Charles Bridge at sunrise,Leisure
6/14/2025,2:31,U23163,Edinburgh,Adventuring through Edinburgh – just look at arthur's seat hike view!,Positive,328650,2803,202796,Arthur's Seat hike view,Adventure
6/1/2025,6:36,U40380,Auckland,Thrill-seeking in Auckland! Volcanic cone parkland was the highlight.,Negative,106324,3285,70364.4,Volcanic cone parkland,Adventure
7/13/2025,20:06,U92229,Glasgow,Quick trip to Glasgow for work – still managed to catch this: street art on city walls.,Positive,41486,3845,32581.6,Street art on city walls,Business
6/23/2025,6:39,U70382,Vancouver,Thrill-seeking in Vancouver! Sunset kayak on the inlet was the highlight.,Positive,285839,497,172497.4,Sunset kayak on the inlet,Adventure
7/8/2025,6:18,U95744,Istanbul,Adrenaline + views = Istanbul. Loved spices in grand bazaar!,Positive,177361,1318,109052.6,Spices in Grand Bazaar,Adventure
7/26/2025,22:48,U14186,Tallinn,Vacation vibes in Tallinn! Cafés in old town street made it unforgettable.,Positive,397853,2240,243191.8,Cafés in old town street,Leisure
7/15/2025,12:32,U44046,Cape Town,Relaxing in Cape Town with views like this: penguins at boulders beach.,Positive,2061,223,1682.6,Penguins at Boulders Beach,Leisure
7/16/2025,11:53,U97498,Reykjavik,Exploring the beauty of Reykjavik – sun voyager sculpture by water.,Positive,250797,2587,155652.2,Sun Voyager sculpture by water,Leisure
6/28/2025,15:14,U56993,Munich,Exploring the beauty of Munich – beer steins at oktoberfest.,Positive,405687,2603,248618.2,Beer steins at Oktoberfest,Leisure
7/25/2025,12:44,U61773,Glasgow,Adventuring through Glasgow – just look at street art on city walls!,Negative,49419,1414,32479.4,Street art on city walls,Adventure
6/13/2025,12:36,U63101,Jakarta,Relaxing in Jakarta with views like this: national monument in central park.,Positive,131420,2418,83688,National Monument in central park,Leisure
7/8/2025,8:07,U36627,New York,Business isn’t all boring – check out central park in summer in New York.,Positive,466185,2107,283925,Central Park in summer,Business
6/15/2025,7:47,U31277,Cusco,Quick trip to Cusco for work – still managed to catch this: alpacas near mountain trail.,Positive,428952,2727,262825.2,Alpacas near mountain trail,Business
7/15/2025,10:48,U60452,Vilnius,Adrenaline + views = Vilnius. Loved baroque churches in morning light!,Positive,261810,4946,166978,Baroque churches in morning light,Adventure
6/17/2025,19:12,U12848,Doha,"Between meetings in Doha, took a moment to enjoy skyline with dhow boat.",Negative,227983,179,137147.8,Skyline with dhow boat,Business
7/6/2025,7:41,U40283,Lima,Adrenaline + views = Lima. Loved ceviche dish close-up!,Positive,56411,554,34954.6,Ceviche dish close-up,Adventure
7/9/2025,15:30,U83013,Rome,Business isn’t all boring – check out street performer near the pantheon in Rome.,Positive,448865,373,270065,Street performer near the Pantheon,Business
7/1/2025,22:00,U98155,Venice,Relaxing in Venice with views like this: gondolas on grand canal.,Negative,54594,3594,39944.4,Gondolas on Grand Canal,Leisure
6/11/2025,10:26,U37962,Moscow,Adrenaline + views = Moscow. Loved st. basil's cathedral in snow!,Positive,106007,1822,67248.2,St. Basil's Cathedral in snow,Adventure
6/28/2025,2:58,U56166,New York,Exploring the beauty of New York – central park in summer.,Neutral,279155,2097,171687,Central Park in summer,Leisure
7/2/2025,10:00,U65888,Manila,Adventuring through Manila – just look at jeepneys on crowded street!,Neutral,67346,3858,48123.6,Jeepneys on crowded street,Adventure
7/25/2025,10:49,U28737,Marrakech,Exploring the beauty of Marrakech – lanterns in souk alley.,Positive,346991,2997,214188.6,Lanterns in souk alley,Leisure
7/17/2025,23:40,U62364,Reykjavik,"Between meetings in Reykjavik, took a moment to enjoy geothermal pool steam rising.",Negative,25200,2721,20562,Geothermal pool steam rising,Business
6/22/2025,1:42,U98095,Santorini,Adventuring through Santorini – just look at sunset over the aegean sea!,Positive,97107,317,58898.2,Sunset over the Aegean Sea,Adventure
7/23/2025,8:09,U92505,Marrakech,Vacation vibes in Marrakech! Lanterns in souk alley made it unforgettable.,Positive,464988,3443,285878.8,Lanterns in souk alley,Leisure
6/21/2025,14:35,U70181,Edinburgh,"Between meetings in Edinburgh, took a moment to enjoy edinburgh castle on hill.",Positive,423797,1510,257298.2,Edinburgh Castle on hill,Business
5/29/2025,23:51,U63326,Rome,"Between meetings in Rome, took a moment to enjoy street performer near the pantheon.",Negative,87733,282,53203.8,Street performer near the Pantheon,Business
5/31/2025,9:56,U45462,Abu Dhabi,"Between meetings in Abu Dhabi, took a moment to enjoy date palms and desert dunes.",Negative,472592,3816,291187.2,Date palms and desert dunes,Business
7/6/2025,18:12,U33880,Zagreb,Thrill-seeking in Zagreb! St. Mark’s colorful roof was the highlight.,Positive,71382,4538,51905.2,St. Mark’s colorful roof,Adventure
7/20/2025,8:20,U17463,Doha,Thrill-seeking in Doha! Souq Waqif lantern shops was the highlight.,Negative,176272,553,106869.2,Souq Waqif lantern shops,Adventure
7/13/2025,16:25,U56747,Moscow,Business isn’t all boring – check out moscow metro ornate station in Moscow.,Positive,194428,566,117788.8,Moscow Metro ornate station,Business
7/13/2025,13:24,U47220,Sydney,Exploring the beauty of Sydney – harbor bridge lights at night.,Neutral,293129,3821,183519.4,Harbor Bridge lights at night,Leisure
7/16/2025,14:40,U45910,London,Adventuring through London – just look at afternoon tea in notting hill!,Positive,25267,1344,17848.2,Afternoon tea in Notting Hill,Adventure
6/12/2025,15:51,U35614,Bangkok,Vacation vibes in Bangkok! Street food vendor at night market made it unforgettable.,Positive,289633,3317,180413.8,Street food vendor at night market,Leisure
6/2/2025,0:49,U44501,Reykjavik,"Between meetings in Reykjavik, took a moment to enjoy hallgrímskirkja church in snow.",Neutral,293137,752,177386.2,Hallgrímskirkja church in snow,Business
6/17/2025,15:50,U93682,Buenos Aires,Vacation vibes in Buenos Aires! Colorful Caminito buildings made it unforgettable.,Neutral,54438,2703,38068.8,Colorful Caminito buildings,Leisure
6/7/2025,0:17,U58012,Amman,Business isn’t all boring – check out roman amphitheater with crowd in Amman.,Positive,255133,3467,160013.8,Roman amphitheater with crowd,Business
7/10/2025,5:19,U26696,Budapest,Exploring the beauty of Budapest – parliament building by the danube.,Neutral,124481,4619,83926.6,Parliament building by the Danube,Leisure
7/27/2025,20:09,U49022,Cape Town,Relaxing in Cape Town with views like this: colorful bo-kaap houses.,Neutral,258234,1387,157714.4,Colorful Bo-Kaap houses,Leisure
6/21/2025,2:06,U77610,Prague,Quick trip to Prague for work – still managed to catch this: charles bridge at sunrise.,Positive,111283,3832,74433.8,Charles Bridge at sunrise,Business
7/28/2025,9:59,U25882,Moscow,Business isn’t all boring – check out moscow metro ornate station in Moscow.,Positive,216712,330,130687.2,Moscow Metro ornate station,Business
7/11/2025,1:53,U20116,Venice,Adventuring through Venice – just look at piazza san marco crowd!,Negative,74431,3877,52412.6,Piazza San Marco crowd,Adventure
6/27/2025,13:52,U71366,Brussels,Relaxing in Brussels with views like this: atomium reflecting in water.,Neutral,251981,4395,159978.6,Atomium reflecting in water,Leisure
7/21/2025,17:14,U13265,Zagreb,Vacation vibes in Zagreb! St. Mark’s colorful roof made it unforgettable.,Positive,223244,186,134318.4,St. Mark’s colorful roof,Leisure
7/1/2025,6:28,U75280,Marrakech,Business isn’t all boring – check out spices at the medina in Marrakech.,Positive,428873,183,257689.8,Spices at the Medina,Business
6/9/2025,10:25,U59992,Paris,Thrill-seeking in Paris! Eiffel Tower lit at night was the highlight.,Neutral,156603,1914,97789.8,Eiffel Tower lit at night,Adventure
6/3/2025,8:25,U38857,Seoul,Thrill-seeking in Seoul! Palace guards in ceremonial dress was the highlight.,Positive,425963,3333,262243.8,Palace guards in ceremonial dress,Adventure
6/25/2025,19:04,U29748,Cairo,Adrenaline + views = Cairo. Loved ancient hieroglyphs inside tomb!,Positive,219764,2630,137118.4,Ancient hieroglyphs inside tomb,Adventure
6/4/2025,4:18,U27713,Budapest,Adrenaline + views = Budapest. Loved parliament building by the danube!,Positive,476619,2374,290719.4,Parliament building by the Danube,Adventure
6/14/2025,10:06,U63368,Zagreb,Adrenaline + views = Zagreb. Loved ban jelačić square crowd!,Positive,473595,450,285057,Ban Jelačić Square crowd,Adventure
6/21/2025,9:32,U77082,Hanoi,Quick trip to Hanoi for work – still managed to catch this: train street café.,Negative,75451,2689,50648.6,Train Street café,Business
6/21/2025,10:41,U19320,Mexico City,Exploring the beauty of Mexico City – frida kahlo's casa azul.,Positive,458199,1257,277433.4,Frida Kahlo's Casa Azul,Leisure
6/24/2025,17:14,U12834,London,Quick trip to London for work – still managed to catch this: afternoon tea in notting hill.,Positive,392722,3571,242775.2,Afternoon tea in Notting Hill,Business
7/27/2025,5:40,U89659,Riga,Adrenaline + views = Riga. Loved art nouveau building facades!,Neutral,110282,4627,75423.2,Art Nouveau building facades,Adventure
6/3/2025,22:55,U44219,Prague,Relaxing in Prague with views like this: vltava river reflections at night.,Negative,418915,967,253283,Vltava River reflections at night,Leisure
6/21/2025,15:20,U59137,Paris,Adrenaline + views = Paris. Loved croissant and coffee by the seine!,Neutral,157056,560,95353.6,Croissant and coffee by the Seine,Adventure
7/5/2025,6:24,U65279,Oslo,Relaxing in Oslo with views like this: viking ship museum display.,Positive,41315,4396,33581,Viking Ship Museum display,Leisure
7/10/2025,8:49,U46568,Copenhagen,Exploring the beauty of Copenhagen – bicycles along cobbled street.,Positive,225200,4279,143678,Bicycles along cobbled street,Leisure
5/29/2025,15:59,U20752,Copenhagen,"Between meetings in Copenhagen, took a moment to enjoy little mermaid statue by sea.",Neutral,1383,2509,5847.8,Little Mermaid statue by sea,Business
6/23/2025,7:23,U32488,Tokyo,Quick trip to Tokyo for work – still managed to catch this: sushi platter at tsukiji market.,Positive,49761,3898,37652.6,Sushi platter at Tsukiji Market,Business
6/24/2025,10:08,U81714,Sydney,Adventuring through Sydney – just look at surfing at bondi beach!,Neutral,211379,356,127539.4,Surfing at Bondi Beach,Adventure
6/8/2025,15:24,U33466,Istanbul,Exploring the beauty of Istanbul – bosporus ferry ride.,Positive,53064,2414,36666.4,Bosporus ferry ride,Leisure
7/27/2025,20:32,U86894,Tallinn,Vacation vibes in Tallinn! Christmas market in Town Hall Square made it unforgettable.,Neutral,230518,3315,144940.8,Christmas market in Town Hall Square,Leisure
7/25/2025,18:32,U19724,Bali,Adventuring through Bali – just look at sunset surfer at uluwatu!,Positive,66009,3655,46915.4,Sunset surfer at Uluwatu,Adventure
7/1/2025,12:23,U19129,Vienna,Exploring the beauty of Vienna – horse-drawn carriage in old town.,Neutral,332020,468,200148,Horse-drawn carriage in old town,Leisure
7/4/2025,18:44,U98825,Barcelona,Exploring the beauty of Barcelona – tapas on a patio table.,Positive,15673,3894,17191.8,Tapas on a patio table,Leisure
6/11/2025,14:10,U86468,Stockholm,Adventuring through Stockholm – just look at gamla stan alleyways!,Negative,277834,1088,168876.4,Gamla Stan alleyways,Adventure
6/4/2025,22:12,U54247,Dubai,Business isn’t all boring – check out burj khalifa from below in Dubai.,Positive,238515,3769,150647,Burj Khalifa from below,Business
6/5/2025,19:39,U79585,Bangkok,"Between meetings in Bangkok, took a moment to enjoy floating market boats.",Positive,451351,4250,279310.6,Floating market boats,Business
6/25/2025,8:21,U87673,Athens,"Between meetings in Athens, took a moment to enjoy columns of the temple of olympian zeus.",Negative,458826,1678,278651.6,Columns of the Temple of Olympian Zeus,Business
6/3/2025,7:30,U69732,Athens,"Between meetings in Athens, took a moment to enjoy rooftop taverna with acropolis view.",Negative,78031,129,47076.6,Rooftop taverna with Acropolis view,Business
7/12/2025,17:15,U77603,Auckland,Adrenaline + views = Auckland. Loved volcanic cone parkland!,Positive,210359,1286,128787.4,Volcanic cone parkland,Adventure
7/10/2025,7:56,U38708,Beijing,Quick trip to Beijing for work – still managed to catch this: forbidden city red gates.,Positive,444583,39,266827.8,Forbidden City red gates,Business
7/8/2025,19:13,U37901,New York,Adventuring through New York – just look at times square crowd at night!,Neutral,462634,933,279446.4,Times Square crowd at night,Adventure
5/31/2025,23:41,U62761,Venice,Relaxing in Venice with views like this: gondolas on grand canal.,Positive,203284,1582,125134.4,Gondolas on Grand Canal,Leisure
6/19/2025,8:50,U23259,Athens,Adrenaline + views = Athens. Loved columns of the temple of olympian zeus!,Positive,434451,135,260940.6,Columns of the Temple of Olympian Zeus,Adventure
7/9/2025,9:44,U81182,Abu Dhabi,Adrenaline + views = Abu Dhabi. Loved date palms and desert dunes!,Positive,401500,3017,246934,Date palms and desert dunes,Adventure
6/18/2025,9:42,U91058,Budapest,Thrill-seeking in Budapest! Thermal bath under steam was the highlight.,Positive,33346,4780,29567.6,Thermal bath under steam,Adventure
